rho,zeta,status,accuracy,bal_acc,max_gap,solve_time
0.0,0.5,infeasible,,,,1.2690272331237793
0.0,0.8,infeasible,,,,1.337157964706421
0.0,1.0,optimal,0.585,0.5518421052631579,0.09999999999999998,2.130119800567627
0.0,1.2,optimal,0.5455,0.5713157894736842,0.25762711864406784,3.0457048416137695
0.0,1.5,optimal,0.5485,0.5752631578947368,0.30734463276836166,2.4178884029388428
0.0,2.0,optimal,0.5485,0.5752631578947368,0.30734463276836166,7.045114278793335
0.0,5.0,optimal,0.5485,0.5752631578947368,0.30734463276836166,4.209242820739746
0.01,0.5,infeasible,,,,7.902204751968384
0.01,0.8,infeasible,,,,6.837808847427368
0.01,1.0,optimal,0.95,0.5,0.0,9.598349332809448
0.01,1.2,optimal,0.546,0.5810526315789474,0.14011299435028246,14.176446437835693
0.01,1.5,optimal,0.54825,0.5798684210526316,0.22372881355932206,14.241568088531494
0.01,2.0,optimal,0.54825,0.5798684210526316,0.22372881355932206,13.70430612564087
0.01,5.0,optimal,0.54825,0.5798684210526316,0.22372881355932206,11.532549381256104
0.05,0.5,infeasible,,,,4.960125923156738
0.05,0.8,infeasible,,,,5.037396192550659
0.05,1.0,optimal,0.95,0.5,0.0,6.889600515365601
0.05,1.2,optimal,0.60075,0.5861842105263158,0.14124293785310726,14.199697971343994
0.05,1.5,optimal,0.547,0.593421052631579,0.12316384180790951,19.104730129241943
0.05,2.0,optimal,0.547,0.593421052631579,0.12316384180790951,15.700953245162964
0.05,5.0,optimal,0.547,0.593421052631579,0.12316384180790951,13.842472553253174
0.1,0.5,infeasible,,,,6.2203850746154785
0.1,0.8,infeasible,,,,7.268725872039795
0.1,1.0,optimal,0.95,0.5,0.0,7.240340232849121
0.1,1.2,optimal,0.67925,0.5730263157894737,0.12655367231638415,7.706550359725952
0.1,1.5,optimal,0.53875,0.5914473684210526,0.12316384180790951,9.332584857940674
0.1,2.0,optimal,0.53875,0.5914473684210526,0.12316384180790951,10.080004692077637
0.1,5.0,optimal,0.53875,0.5914473684210526,0.12316384180790951,9.072661399841309
0.5,0.5,infeasible,,,,6.06942081451416
0.5,0.8,infeasible,,,,5.981065988540649
0.5,1.0,optimal,0.95,0.5,0.0,5.733074903488159
0.5,1.2,optimal,0.95,0.5,0.0,6.2375452518463135
0.5,1.5,optimal,0.95,0.5,0.0,5.956503868103027
0.5,2.0,optimal,0.95,0.5,0.0,6.499785661697388
0.5,5.0,optimal,0.95,0.5,0.0,5.519757032394409
